grouping,total_hh_income_2018,total_cocoa_income_2018,benchmark,food_value,below_benchmark,fgt_gap,total_hh_income_2018_including_food_value,below_benchmark_with_food,fgt_gap_with_food
"Male-headed, large",4891.675,2935.005,5123,450,1,0.045154207,5341.675,0,0
"Male-headed, large",361.4952,289.1961,5123,450,1,0.929436814,811.4952,1,0.841597658
"Male-headed, large",1191.556,953.2451,5123,450,1,0.767410502,1641.556,1,0.679571345
"Male-headed, large",10032.73,3009.818,5123,450,0,0,10482.73,0,0
"Male-headed, large",10474.46,5760.955,5123,450,0,0,10924.46,0,0
"Male-headed, large",1437.014,1437.014,5123,450,1,0.71949756,1887.014,1,0.631658403
"Male-headed, large",4117.609,3294.088,5123,450,1,0.196250439,4567.609,1,0.108411282
"Male-headed, large",9051.469,5430.881,5123,450,0,0,9501.469,0,0
"Male-headed, large",951.2413,523.1827,5123,450,1,0.814319481,1401.2413,1,0.726480324
"Male-headed, large",6875.493,4812.845,5123,450,0,0,7325.493,0,0
"Male-headed, large",2590.671,1036.268,5123,450,1,0.494305875,3040.671,1,0.406466719
"Male-headed, large",2393.94,1436.364,5123,450,1,0.532707398,2843.94,1,0.444868241
"Male-headed, large",2915.521,1749.313,5123,450,1,0.430895764,3365.521,1,0.343056607
"Male-headed, large",4919.623,4427.661,5123,450,1,0.039698809,5369.623,0,0
"Male-headed, large",980.5529,441.2488,5123,450,1,0.808597911,1430.5529,1,0.720758755
"Male-headed, large",4470.185,3576.148,5123,450,1,0.127428265,4920.185,1,0.039589108
"Male-headed, large",2528.433,1769.903,5123,450,1,0.506454616,2978.433,1,0.41861546
"Male-headed, large",1677.869,1174.508,5123,450,1,0.672483115,2127.869,1,0.584643959
"Male-headed, large",2072.187,1554.14,5123,450,1,0.595512981,2522.187,1,0.507673824
"Male-headed, large",3258.994,3096.044,5123,450,1,0.363850478,3708.994,1,0.276011321
"Male-headed, large",7127.399,4276.439,5123,450,0,0,7577.399,0,0
"Male-headed, large",3577.71,2146.626,5123,450,1,0.301637712,4027.71,1,0.213798556
"Male-headed, large",5648.198,4236.148,5123,450,0,0,6098.198,0,0
"Male-headed, large",4940.121,1482.036,5123,450,1,0.035697638,5390.121,0,0
"Male-headed, large",3482.728,1567.228,5123,450,1,0.320178021,3932.728,1,0.232338864
"Male-headed, large",685.3058,479.7141,5123,450,1,0.866229592,1135.3058,1,0.778390435
"Male-headed, large",9060.758,2718.228,5123,450,0,0,9510.758,0,0
"Male-headed, large",1014.782,608.8691,5123,450,1,0.801916455,1464.782,1,0.714077298
"Male-headed, large",1421.537,1421.537,5123,450,1,0.722518641,1871.537,1,0.634679485
"Male-headed, large",5593.241,2796.621,5123,450,0,0,6043.241,0,0
"Male-headed, large",5073.283,3043.97,5123,450,1,0.009704665,5523.283,0,0
"Male-headed, large",4792.175,1916.87,5123,450,1,0.06457642,5242.175,0,0
"Male-headed, large",1741.364,1044.818,5123,450,1,0.66008901,2191.364,1,0.572249854
"Male-headed, large",2215.303,1329.182,5123,450,1,0.567577006,2665.303,1,0.479737849
"Male-headed, large",1085.588,651.353,5123,450,1,0.788095257,1535.588,1,0.7002561
"Male-headed, large",949.1644,759.3316,5123,450,1,0.814724888,1399.1644,1,0.726885731
"Male-headed, large",3836.427,2301.857,5123,450,1,0.251136639,4286.427,1,0.163297482
"Male-headed, large",4383.82,1753.528,5123,450,1,0.144286551,4833.82,1,0.056447394
